2026-07-13 13:07:26.240 | INFO     | __main__:record:116 - tag=e26s_t2_a70_T2 | decision=skip_no_serialize | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e26s_t2_a70_T2/
2026-07-13 13:07:26.397 | INFO     | __main__:record:116 - tag=e30_aum06_f0 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_aum06_f0/
2026-07-13 13:07:26.496 | INFO     | __main__:record:116 - tag=e30_aum06_f1 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_aum06_f1/
2026-07-13 13:07:26.526 | INFO     | __main__:record:116 - tag=e30_aum06_f2 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_aum06_f2/
2026-07-13 13:07:26.542 | INFO     | __main__:record:116 - tag=e30_aum06_f3 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_aum06_f3/
2026-07-13 13:07:26.590 | INFO     | __main__:record:116 - tag=e30_aum06_f4 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_aum06_f4/
2026-07-13 13:07:26.633 | INFO     | __main__:record:116 - tag=e30_e25c_f0 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_e25c_f0/
2026-07-13 13:07:26.678 | INFO     | __main__:record:116 - tag=e30_e25c_f1 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_e25c_f1/
2026-07-13 13:07:26.721 | INFO     | __main__:record:116 - tag=e30_e25c_f2 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_e25c_f2/
2026-07-13 13:07:26.751 | INFO     | __main__:record:116 - tag=e30_e25c_f3 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_e25c_f3/
2026-07-13 13:07:26.786 | INFO     | __main__:record:116 - tag=e30_e25c_f4 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_e25c_f4/
2026-07-13 13:07:26.815 | INFO     | __main__:record:116 - tag=e30_is3_f0 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_is3_f0/
2026-07-13 13:07:26.860 | INFO     | __main__:record:116 - tag=e30_is3_f1 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_is3_f1/
2026-07-13 13:07:26.892 | INFO     | __main__:record:116 - tag=e30_is3_f2 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_is3_f2/
2026-07-13 13:07:26.931 | INFO     | __main__:record:116 - tag=e30_is3_f3 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_is3_f3/
2026-07-13 13:07:26.969 | INFO     | __main__:record:116 - tag=e30_is3_f4 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30_is3_f4/
2026-07-13 13:08:51.318 | INFO     | __main__:record:116 - tag=e30s2_ba_is3 | decision=ok | self_f1=0.7722 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s2_ba_is3/
2026-07-13 13:10:16.154 | INFO     | __main__:record:116 - tag=e30s2_t1_a50 | decision=ok | self_f1=0.7726 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s2_t1_a50/
2026-07-13 13:11:40.635 | INFO     | __main__:record:116 - tag=e30s2_t1_a70 | decision=ok | self_f1=0.7695 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s2_t1_a70/
2026-07-13 13:13:03.904 | INFO     | __main__:record:116 - tag=e30s2_t1_soft | decision=ok | self_f1=0.7678 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s2_t1_soft/
2026-07-13 13:14:28.108 | INFO     | __main__:record:116 - tag=e30s_ba_is3 | decision=ok | self_f1=0.7731 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s_ba_is3/
2026-07-13 13:15:52.066 | INFO     | __main__:record:116 - tag=e30s_t1_a50 | decision=ok | self_f1=0.7739 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s_t1_a50/
2026-07-13 13:17:15.902 | INFO     | __main__:record:116 - tag=e30s_t1_a70 | decision=ok | self_f1=0.7754 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s_t1_a70/
2026-07-13 13:18:39.349 | INFO     | __main__:record:116 - tag=e30s_t1_soft | decision=ok | self_f1=0.7652 | clean=True | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e30s_t1_soft/
2026-07-13 13:18:39.857 | INFO     | __main__:record:116 - tag=granite_tapt_mlm | decision=skip_no_serialize | source=output/pat/granite_tapt_mlm/
2026-07-13 13:18:39.885 | INFO     | __main__:record:116 - tag=granite_tapt_mlm_richargs | decision=skip_no_serialize | source=output/pat/granite_tapt_mlm_richargs/
2026-07-13 13:18:39.913 | INFO     | __main__:record:116 - tag=qwen3_champion_pruned | decision=skip_no_serialize | source=output/pat/qwen3_champion_pruned/
2026-07-13 13:18:39.955 | INFO     | __main__:record:116 - tag=soup_granite_ls | decision=skip_no_serialize | source=output/pat/soup_granite_ls/
2026-07-13 13:18:40.040 | SUCCESS  | __main__:main:225 - DONE: 63 models in experiments/ensemble/logits/  (123 candidates evaluated)
